"File","Line","Literal","Category"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\AdminSidebar.tsx","135","<span className=""text-xs font-bold text-white"">AD</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\ShareGameModal.tsx","133","<span>Â·</span>","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\ShareGameModal.tsx","134","game.timeControl || ""â€”""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\ShareGameModal.tsx","137","<span>Â·</span>","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\Sidebar.tsx","118","alt=""NeonGambit""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","331","backgroundColor: ""#90a4b5""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","332","backgroundColor: ""#c6d0d8""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","334","borderRadius: ""15px""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","335","boxShadow: ""0 18px 38px rgba(0,0,0,0.24)""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","347","<div className=""truncate text-[13px] font-semibold text-gray-100 sm:text-sm"">
                {game.white} ({game.whiteElo}<Trans>) vs</Trans> {game.black} ({game.blackElo})
              </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","347","<div className=""truncate text-[13px] font-semibold text-gray-100 sm:text-sm"">
                {game.white} ({game.whiteElo}<Trans>) vs</Trans> {game.black} ({game.blackElo})
              </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityGameViewer.tsx","347","<div className=""truncate text-[13px] font-semibold text-gray-100 sm:text-sm"">
                {game.white} ({game.whiteElo}<Trans>) vs</Trans> {game.black} ({game.blackElo})
              </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\CommunityImageGrid.tsx","60","<span className=""text-[28px] font-semibold tracking-tight text-white"">
            +{hiddenCount}
          </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\FeedPagination.tsx","61","<span
            key={`dots-${index}`}
            className=""w-9 h-9 flex items-center justify-center text-gray-500 text-sm select-none""
          >
            ...
          </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\PostCard.tsx","314","ease: ""easeOut""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\PostCard.tsx","377","<span className=""font-semibold"">{t(""postCard.reasonLabel"")}:</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\PostCard.tsx","572","<span>
                    {activeImageIndex + 1} / {imageItems.length}
                  </span>","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\PostComposer.tsx","1034","<span className=""text-xs tabular-nums text-gray-500"">
                  {content.length}/{MAX_CHARS}
                </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\SidebarWidgets.tsx","82","[
              `${t(""communitySidebar.byAuthor"", { author: authorLabel })}`,
              post.group?.name || """",
              formatRelativeTime(post.createdAt),
            ]
              .filter(Boolean)
              .join("" Â· "")","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\SidebarWidgets.tsx","91","<div className=""flex h-8 w-8 shrink-0 items-center justify-center rounded-xl bg-white/[0.05] text-[11px] font-semibold text-gray-300"">
                  #{index + 1}
                </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\SidebarWidgets.tsx","183","<span className=""text-gray-400 text-[10px]"">
                    ({game.white.rating})
                  </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\SidebarWidgets.tsx","184","<span className=""text-gray-400 text-[10px]"">
                    ({game.white.rating})
                  </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\SidebarWidgets.tsx","196","<span className=""text-gray-400 text-[10px]"">
                    ({game.black.rating})
                  </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\community\SidebarWidgets.tsx","197","<span className=""text-gray-400 text-[10px]"">
                    ({game.black.rating})
                  </span>","safe_technical"
