
=== YOUR CODE STATISTICS ===

server\server\index.js                                         6365 lines
package-lock.json                                              4694 lines
server\server\controllers\tournamentControllerV2.js            3613 lines
src\pages\tournaments\Tournaments.tsx                          3398 lines
src\data\Puzzle3\puzzles.json                                  3318 lines
src\pages\playPractice\PlayPractice.tsx                        3034 lines
src\hooks\useOnlineQuickMatch.ts                               2841 lines
src\hooks\useFriendOnlineGame.ts                               2531 lines
server\package-lock.json                                       2387 lines
src\pages\messages\Messages.tsx                                1845 lines
src\pages\adminCommunity\AdminCommunity.tsx                    1829 lines
server\server\routes\puzzles.js                                1818 lines
server\server\routes\auth.js                                   1779 lines
src\pages\quickMatch\QuickMatchGameView.tsx                    1581 lines
src\pages\AdminPuzzles.tsx                                     1543 lines
server\server\package-lock.json                                1494 lines
server\server\controllers\tournamentController.js              1274 lines
server\server\services\adminLearnService.js                    1174 lines
server\server\routes\community.js                              1156 lines
src\pages\quickMatch\QuickMatch.tsx                            1120 lines
src\pages\playFourPlayer\FourPlayerChess.tsx                   1106 lines
server\server\services\arenaPairingRuntime.js                  1092 lines
src\pages\adminLearn\AdminLearnLesson.tsx                      1046 lines
server\server\services\learnService.js                         1042 lines
src\components\community\PostComposer.tsx                      1007 lines
server\server\utils\mediaStorage.js                             988 lines
server\server\routes\adminTournaments.js                        982 lines
server\server\controllers\messagesController.js                 973 lines
src\App.tsx                                                     953 lines
src\index.css                                                   939 lines
src\pages\playFourPlayer\engine.ts                              934 lines
src\pages\adminFeaturedEvents\AdminFeaturedEvents.tsx           927 lines
src\pages\friends\Friends.tsx                                   881 lines
server\server\utils\tournamentEngine.js                         844 lines
server\server\utils\fourPlayerEngine.js                         828 lines
server\server\routes\adminGames.js                              809 lines
src\pages\playWithFriend\FriendGameSetup.tsx                    809 lines
server\server\routes\adminCommunity.js                          780 lines
puzzles-import-test-50.json                                     753 lines
server\server\puzzles-import-test-50.json                       753 lines
src\pages\puzzleTrainer\usePuzzleTrainer.ts                     744 lines
server\server\utils\communityPosts.js                           737 lines
src\locales\en\translation.json                                 737 lines
src\locales\mn\translation.json                                 737 lines
src\pages\Settings.tsx                                          737 lines
src\pages\adminLearn\AdminLearnOverview.tsx                     727 lines
server\server\utils\gameClock.js                                706 lines
server\server\seeds\bots.js                                     700 lines
src\pages\puzzles\Puzzles.tsx                                   700 lines
server\server\routes\friends.js                                 692 lines
src\pages\LearnLesson.tsx                                       692 lines
src\locales\en\ui.json                                          672 lines
src\locales\mn\ui.json                                          672 lines
src\pages\quickMatch\QuickMatchSetup.tsx                        628 lines
src\pages\watch\WatchSpectatorGame.tsx                          619 lines
src\pages\playFourPlayer\useOnlineFourPlayerMatch.ts            613 lines
src\components\community\PostCard.tsx                           599 lines
server\server\routes\adminFeaturedEvents.js                     594 lines
src\pages\Community.tsx                                         586 lines
server\server\routes\adminBots.js                               571 lines
server\server\services\analysisAiService.js                     546 lines
server\server\routes\history.js                                 543 lines
src\pages\playVariants\PlayVariants.tsx                         534 lines
src\components\dashboardComponents\TournamentsSection.tsx       531 lines
src\pages\adminLearn\AdminLearnCourse.tsx                       527 lines
src\pages\adminBots\AdminBots.tsx                               502 lines
src\pages\adminGames\AdminGames.tsx                             499 lines
server\server\seeds\learn.js                                    483 lines
src\pages\playWithBot\PlayWithBot.tsx                           483 lines
src\pages\puzzleTrainer\PuzzleTrainer.tsx                       482 lines
src\pages\playWithBot\BotGamePage.tsx                           479 lines
src\pages\UserProfile.tsx                                       478 lines
src\pages\Login.tsx                                             475 lines
src\pages\adminBots\BotFormModal.tsx                            465 lines
server\server\routes\adminPuzzles.js                            448 lines
src\components\community\types.ts                               446 lines
server\server\services\tournamentRuntime.js                     445 lines
src\hooks\useSaveGameHistory.ts                                 442 lines
src\pages\adminGroups\AdminGroups.tsx                           438 lines
src\pages\adminGames\GameFormModal.tsx                          437 lines
src\store\friendChallengeStore.ts                               433 lines
src\components\profilePage\ProfileHeader.tsx                    415 lines
src\store\friendStore.ts                                        414 lines
src\components\community\SidebarWidgets.tsx                     407 lines
src\hooks\usePositionParser.ts                                  407 lines
src\pages\puzzles\PuzzleHistory.tsx                             406 lines
src\components\profilePage\RatingTimelineCard.tsx               401 lines
src\data\botPersonalities.ts                                    397 lines
server\server\routes\lichess.js                                 395 lines
src\utils\lichessApi.ts                                         385 lines
src\pages\adminProfile\index.tsx                                384 lines
src\pages\watch\watchFeaturedCarousel.css                       382 lines
src\components\community\CommunityGameViewer.tsx                380 lines
src\hooks\useSquareClickHandler.ts                              380 lines
server\server\utils\communityGroups.js                          377 lines
src\pages\watch\WatchFeaturedCarousel.tsx                       370 lines
src\pages\adminGames\useAdminGames.ts                           368 lines
src\data\communityData.ts                                       365 lines
src\components\community\CommunityGroups.tsx                    359 lines
src\pages\CommunityGroupDetail.tsx                              356 lines
src\pages\puzzles\types.ts                                      356 lines
src\utils\moveExplanations.ts                                   354 lines
src\pages\Register.tsx                                          346 lines
src\hooks\useStockfishGame.ts                                   332 lines
src\pages\playWithFriend\PlayWithFriend.tsx                     332 lines
src\components\game\MoveListTabs.tsx                            327 lines
src\components\game\GameOverModal.tsx                           325 lines
src\config\appThemes.ts                                         324 lines
src\components\profilePage\ProfileAvatarUpload.tsx              322 lines
src\pages\Learn.tsx                                             321 lines
src\pages\adminCommunity\components\AdminCommunityReviewSidebar.tsx    320 lines
src\pages\watch\LiveGamesGrid.tsx                               305 lines
src\pages\adminCommunity\components\AdminCommunityPostCard.tsx    304 lines
src\pages\adminUsers\useAdminUsers.ts                           301 lines
src\utils\moveSounds.ts                                         297 lines
src\pages\watch\FeaturedMatch.tsx                               295 lines
server\server\routes\adminUsers.js                              293 lines
src\utils\activeOnlineGame.ts                                   290 lines
server\server\utils\glicko2.js                                  288 lines
src\pages\CommunityGroups.tsx                                   281 lines
src\hooks\onlineGameShared.ts                                   280 lines
server\server\services\scheduledTournamentMonitor.js            278 lines
src\components\profilePage\GamesTabContent.tsx                  276 lines
src\components\Sidebar.tsx                                      275 lines
src\components\ShareGameModal.tsx                               265 lines
server\server\routes\adminGroups.js                             262 lines
src\store\authStore.ts                                          262 lines
src\components\profilePage\FormatStatsCard.tsx                  261 lines
src\pages\adminUsers\UserRow.tsx                                260 lines
src\pages\messages\components\MessageComposer.tsx               260 lines
src\data\mockData.ts                                            258 lines
server\server\modules\standings\tournamentStandings.js          252 lines
src\components\replay\explanation\useAiExplanations.ts          250 lines
src\pages\playWithBot\BotGameView.tsx                           249 lines
src\hooks\useWatchPage.ts                                       247 lines
